publicare | User 0 firma 3 numar actiuni 5 cu pretul 4
publicare | User 5 firma 2 numar actiuni 1 cu pretul 2

publicare | User 5 firma 1 numar actiuni 1 cu pretul 4

publicare | User 5 firma 0 numar actiuni 2 cu pretul 1

publicare | User 5 firma 7 numar actiuni 2 cu pretul 10

publicare | User 5 firma 6 numar actiuni 1 cu pretul 9

publicare | User 5 firma 5 numar actiuni 2 cu pretul 9

publicare | User 5 firma 4 numar actiuni 1 cu pretul 9

publicare | User 5 firma 9 numar actiuni 5 cu pretul 6

publicare | User 5 firma 8 numar actiuni 3 cu pretul 5

publicare | User 5 firma 3 numar actiuni 4 cu pretul 8

publicare | User 5 firma 2 numar actiuni 1 cu pretul 2

publicare | User 5 firma 1 numar actiuni 4 cu pretul 4

publicare | User 5 firma 0 numar actiuni 2 cu pretul 1

publicare | User 5 firma 7 numar actiuni 4 cu pretul 10

publicare | User 5 firma 6 numar actiuni 2 cu pretul 9

publicare | User 5 firma 5 numar actiuni 1 cu pretul 9

publicare | User 5 firma 4 numar actiuni 1 cu pretul 9

publicare | User 5 firma 9 numar actiuni 1 cu pretul 6

publicare | User 5 firma 8 numar actiuni 2 cu pretul 5

publicare | User 6 firma 3 numar actiuni 5 cu pretul 9

publicare | User 6 firma 2 numar actiuni 4 cu pretul 1

publicare | User 6 firma 1 numar actiuni 1 cu pretul 5

publicare | User 6 firma 0 numar actiuni 3 cu pretul 7

publicare | User 6 firma 7 numar actiuni 2 cu pretul 6

publicare | User 6 firma 6 numar actiuni 2 cu pretul 9

publicare | User 6 firma 5 numar actiuni 1 cu pretul 9

publicare | User 6 firma 4 numar actiuni 1 cu pretul 10

publicare | User 6 firma 9 numar actiuni 6 cu pretul 7

publicare | User 6 firma 8 numar actiuni 7 cu pretul 6

publicare | User 6 firma 3 numar actiuni 9 cu pretul 9

publicare | User 6 firma 2 numar actiuni 6 cu pretul 1

publicare | User 6 firma 1 numar actiuni 2 cu pretul 5

publicare | User 6 firma 0 numar actiuni 2 cu pretul 7

publicare | User 6 firma 7 numar actiuni 1 cu pretul 6

publicare | User 6 firma 6 numar actiuni 4 cu pretul 9

publicare | User 6 firma 5 numar actiuni 7 cu pretul 9

publicare | User 6 firma 4 numar actiuni 1 cu pretul 10

publicare | User 6 firma 9 numar actiuni 3 cu pretul 7

publicare | User 6 firma 8 numar actiuni 3 cu pretul 6

publicare | User 7 firma 3 numar actiuni 6 cu pretul 10

publicare | User 7 firma 2 numar actiuni 3 cu pretul 8

publicare | User 7 firma 1 numar actiuni 2 cu pretul 9

publicare | User 7 firma 0 numar actiuni 1 cu pretul 7

publicare | User 7 firma 7 numar actiuni 1 cu pretul 1

publicare | User 7 firma 6 numar actiuni 1 cu pretul 7

publicare | User 7 firma 5 numar actiuni 1 cu pretul 8

publicare | User 7 firma 4 numar actiuni 5 cu pretul 8

publicare | User 7 firma 9 numar actiuni 1 cu pretul 2

publicare | User 7 firma 8 numar actiuni 1 cu pretul 1

publicare | User 8 firma 3 numar actiuni 1 cu pretul 7

publicare | User 8 firma 2 numar actiuni 4 cu pretul 5

publicare | User 8 firma 1 numar actiuni 9 cu pretul 2

publicare | User 8 firma 0 numar actiuni 10 cu pretul 7

publicare | User 8 firma 7 numar actiuni 3 cu pretul 10

publicare | User 8 firma 6 numar actiuni 3 cu pretul 7

publicare | User 8 firma 5 numar actiuni 6 cu pretul 1

publicare | User 8 firma 4 numar actiuni 2 cu pretul 3

publicare | User 8 firma 9 numar actiuni 2 cu pretul 3

publicare | User 8 firma 8 numar actiuni 3 cu pretul 6

publicare | User 8 firma 3 numar actiuni 1 cu pretul 7

publicare | User 8 firma 2 numar actiuni 7 cu pretul 5

publicare | User 8 firma 1 numar actiuni 9 cu pretul 2

publicare | User 8 firma 0 numar actiuni 2 cu pretul 7

publicare | User 8 firma 7 numar actiuni 9 cu pretul 10

publicare | User 8 firma 6 numar actiuni 3 cu pretul 7

publicare | User 8 firma 5 numar actiuni 2 cu pretul 1

publicare | User 8 firma 4 numar actiuni 2 cu pretul 3

publicare | User 8 firma 9 numar actiuni 2 cu pretul 3

publicare | User 8 firma 8 numar actiuni 3 cu pretul 6

publicare | User 8 firma 3 numar actiuni 3 cu pretul 7

publicare | User 8 firma 2 numar actiuni 8 cu pretul 5

publicare | User 8 firma 1 numar actiuni 5 cu pretul 2

publicare | User 8 firma 0 numar actiuni 3 cu pretul 7

publicare | User 8 firma 7 numar actiuni 3 cu pretul 10

publicare | User 8 firma 6 numar actiuni 5 cu pretul 7

publicare | User 8 firma 5 numar actiuni 7 cu pretul 1

publicare | User 8 firma 4 numar actiuni 4 cu pretul 3

publicare | User 8 firma 9 numar actiuni 2 cu pretul 3

publicare | User 8 firma 8 numar actiuni 1 cu pretul 6

publicare | User 8 firma 3 numar actiuni 4 cu pretul 7

publicare | User 8 firma 2 numar actiuni 4 cu pretul 5

publicare | User 8 firma 1 numar actiuni 8 cu pretul 2

publicare | User 8 firma 0 numar actiuni 10 cu pretul 7

publicare | User 8 firma 7 numar actiuni 9 cu pretul 10

publicare | User 8 firma 6 numar actiuni 3 cu pretul 7

publicare | User 8 firma 5 numar actiuni 6 cu pretul 1

publicare | User 8 firma 4 numar actiuni 4 cu pretul 3

publicare | User 8 firma 9 numar actiuni 1 cu pretul 3

publicare | User 8 firma 8 numar actiuni 1 cu pretul 6

publicare | User 8 firma 3 numar actiuni 2 cu pretul 7

publicare | User 8 firma 2 numar actiuni 5 cu pretul 5

publicare | User 8 firma 1 numar actiuni 5 cu pretul 2

publicare | User 8 firma 0 numar actiuni 5 cu pretul 7

publicare | User 8 firma 7 numar actiuni 1 cu pretul 10

publicare | User 8 firma 6 numar actiuni 1 cu pretul 7

publicare | User 8 firma 5 numar actiuni 2 cu pretul 1

publicare | User 8 firma 4 numar actiuni 2 cu pretul 3

publicare | User 8 firma 9 numar actiuni 5 cu pretul 3

publicare | User 8 firma 8 numar actiuni 3 cu pretul 6

publicare | User 9 firma 3 numar actiuni 6 cu pretul 3

publicare | User 9 firma 2 numar actiuni 2 cu pretul 1

publicare | User 9 firma 1 numar actiuni 3 cu pretul 3

publicare | User 9 firma 0 numar actiuni 1 cu pretul 9

publicare | User 9 firma 7 numar actiuni 2 cu pretul 4

publicare | User 9 firma 6 numar actiuni 6 cu pretul 1

publicare | User 9 firma 5 numar actiuni 6 cu pretul 7

publicare | User 9 firma 4 numar actiuni 1 cu pretul 1

publicare | User 9 firma 9 numar actiuni 1 cu pretul 8

publicare | User 9 firma 8 numar actiuni 5 cu pretul 6

publicare | User 9 firma 3 numar actiuni 6 cu pretul 3

publicare | User 9 firma 2 numar actiuni 2 cu pretul 1

publicare | User 9 firma 1 numar actiuni 6 cu pretul 3

publicare | User 9 firma 0 numar actiuni 4 cu pretul 9

publicare | User 9 firma 7 numar actiuni 6 cu pretul 4

publicare | User 9 firma 6 numar actiuni 2 cu pretul 1

publicare | User 9 firma 5 numar actiuni 3 cu pretul 7

publicare | User 9 firma 4 numar actiuni 1 cu pretul 1

publicare | User 9 firma 9 numar actiuni 2 cu pretul 8

publicare | User 9 firma 8 numar actiuni 2 cu pretul 6

publicare | User 9 firma 3 numar actiuni 5 cu pretul 3

publicare | User 9 firma 2 numar actiuni 1 cu pretul 1

publicare | User 9 firma 1 numar actiuni 4 cu pretul 3

publicare | User 9 firma 0 numar actiuni 5 cu pretul 9

publicare | User 9 firma 7 numar actiuni 6 cu pretul 4

publicare | User 9 firma 6 numar actiuni 6 cu pretul 1

publicare | User 9 firma 5 numar actiuni 2 cu pretul 7

publicare | User 9 firma 4 numar actiuni 1 cu pretul 1

publicare | User 9 firma 9 numar actiuni 1 cu pretul 8

publicare | User 9 firma 8 numar actiuni 5 cu pretul 6

publicare | User 9 firma 3 numar actiuni 7 cu pretul 3

publicare | User 9 firma 2 numar actiuni 2 cu pretul 1

publicare | User 9 firma 1 numar actiuni 5 cu pretul 3

publicare | User 9 firma 0 numar actiuni 4 cu pretul 9

publicare | User 9 firma 7 numar actiuni 7 cu pretul 4

publicare | User 9 firma 6 numar actiuni 1 cu pretul 1

publicare | User 9 firma 5 numar actiuni 3 cu pretul 7

publicare | User 9 firma 4 numar actiuni 1 cu pretul 1

publicare | User 9 firma 9 numar actiuni 2 cu pretul 8

publicare | User 9 firma 8 numar actiuni 2 cu pretul 6

publicare | User 9 firma 3 numar actiuni 4 cu pretul 3

publicare | User 9 firma 2 numar actiuni 1 cu pretul 1

publicare | User 9 firma 1 numar actiuni 5 cu pretul 3

publicare | User 9 firma 0 numar actiuni 5 cu pretul 9

publicare | User 9 firma 7 numar actiuni 1 cu pretul 4

publicare | User 9 firma 6 numar actiuni 1 cu pretul 1

publicare | User 9 firma 5 numar actiuni 1 cu pretul 7

publicare | User 9 firma 4 numar actiuni 1 cu pretul 1

publicare | User 9 firma 9 numar actiuni 1 cu pretul 8

publicare | User 9 firma 8 numar actiuni 5 cu pretul 6

publicare | User 9 firma 3 numar actiuni 6 cu pretul 3

publicare | User 9 firma 2 numar actiuni 1 cu pretul 1

publicare | User 9 firma 1 numar actiuni 2 cu pretul 3

publicare | User 9 firma 0 numar actiuni 4 cu pretul 9

publicare | User 9 firma 7 numar actiuni 6 cu pretul 4

publicare | User 9 firma 6 numar actiuni 5 cu pretul 1

publicare | User 9 firma 5 numar actiuni 6 cu pretul 7

publicare | User 9 firma 4 numar actiuni 1 cu pretul 1

publicare | User 9 firma 9 numar actiuni 2 cu pretul 8

publicare | User 9 firma 8 numar actiuni 3 cu pretul 6

publicare | User 9 firma 3 numar actiuni 7 cu pretul 3

publicare | User 9 firma 2 numar actiuni 2 cu pretul 1

publicare | User 9 firma 1 numar actiuni 2 cu pretul 3

publicare | User 9 firma 0 numar actiuni 3 cu pretul 9

publicare | User 9 firma 7 numar actiuni 7 cu pretul 4

publicare | User 9 firma 6 numar actiuni 4 cu pretul 1

publicare | User 9 firma 5 numar actiuni 4 cu pretul 7

publicare | User 9 firma 4 numar actiuni 1 cu pretul 1

publicare | User 9 firma 9 numar actiuni 2 cu pretul 8

publicare | User 9 firma 8 numar actiuni 3 cu pretul 6

publicare | User 9 firma 3 numar actiuni 6 cu pretul 3

publicare | User 9 firma 2 numar actiuni 2 cu pretul 1

publicare | User 9 firma 1 numar actiuni 4 cu pretul 3

publicare | User 9 firma 0 numar actiuni 2 cu pretul 9

publicare | User 9 firma 7 numar actiuni 3 cu pretul 4

publicare | User 9 firma 6 numar actiuni 2 cu pretul 1

publicare | User 9 firma 5 numar actiuni 3 cu pretul 7

publicare | User 9 firma 4 numar actiuni 1 cu pretul 1

publicare | User 9 firma 9 numar actiuni 1 cu pretul 8

publicare | User 9 firma 8 numar actiuni 6 cu pretul 6

publicare | User 9 firma 3 numar actiuni 7 cu pretul 3

publicare | User 9 firma 2 numar actiuni 2 cu pretul 1

publicare | User 9 firma 1 numar actiuni 1 cu pretul 3

publicare | User 9 firma 0 numar actiuni 4 cu pretul 9

publicare | User 9 firma 7 numar actiuni 2 cu pretul 4

publicare | User 9 firma 6 numar actiuni 3 cu pretul 1

publicare | User 9 firma 5 numar actiuni 3 cu pretul 7

publicare | User 9 firma 4 numar actiuni 1 cu pretul 1

publicare | User 9 firma 9 numar actiuni 2 cu pretul 8

publicare | User 9 firma 8 numar actiuni 3 cu pretul 6

publicare | User 9 firma 3 numar actiuni 8 cu pretul 3

publicare | User 9 firma 2 numar actiuni 1 cu pretul 1

publicare | User 9 firma 1 numar actiuni 6 cu pretul 3

publicare | User 9 firma 0 numar actiuni 1 cu pretul 9

publicare | User 9 firma 7 numar actiuni 1 cu pretul 4

publicare | User 9 firma 6 numar actiuni 2 cu pretul 1

publicare | User 9 firma 5 numar actiuni 4 cu pretul 7

publicare | User 9 firma 4 numar actiuni 1 cu pretul 1

publicare | User 9 firma 9 numar actiuni 2 cu pretul 8

publicare | User 9 firma 8 numar actiuni 6 cu pretul 6

publicare | User 10 firma 3 numar actiuni 4 cu pretul 10

publicare | User 10 firma 2 numar actiuni 6 cu pretul 3

publicare | User 10 firma 1 numar actiuni 5 cu pretul 6

publicare | User 10 firma 0 numar actiuni 6 cu pretul 1

publicare | User 10 firma 7 numar actiuni 3 cu pretul 3

publicare | User 10 firma 6 numar actiuni 4 cu pretul 6

publicare | User 10 firma 5 numar actiuni 1 cu pretul 9

publicare | User 10 firma 4 numar actiuni 3 cu pretul 10

publicare | User 10 firma 9 numar actiuni 6 cu pretul 10

publicare | User 10 firma 8 numar actiuni 1 cu pretul 8

publicare | User 11 firma 3 numar actiuni 1 cu pretul 5

publicare | User 11 firma 2 numar actiuni 1 cu pretul 10

publicare | User 11 firma 1 numar actiuni 2 cu pretul 10

publicare | User 11 firma 0 numar actiuni 8 cu pretul 9

publicare | User 11 firma 7 numar actiuni 5 cu pretul 4

publicare | User 11 firma 6 numar actiuni 3 cu pretul 5

publicare | User 11 firma 5 numar actiuni 2 cu pretul 6

publicare | User 11 firma 4 numar actiuni 1 cu pretul 9

publicare | User 11 firma 9 numar actiuni 1 cu pretul 4

publicare | User 11 firma 8 numar actiuni 2 cu pretul 1

publicare | User 12 firma 3 numar actiuni 3 cu pretul 2

publicare | User 12 firma 2 numar actiuni 1 cu pretul 7

publicare | User 12 firma 1 numar actiuni 1 cu pretul 3

publicare | User 12 firma 0 numar actiuni 4 cu pretul 3

publicare | User 12 firma 7 numar actiuni 10 cu pretul 5

publicare | User 12 firma 6 numar actiuni 1 cu pretul 6

publicare | User 12 firma 5 numar actiuni 4 cu pretul 4

publicare | User 12 firma 4 numar actiuni 3 cu pretul 7

publicare | User 12 firma 9 numar actiuni 6 cu pretul 5

publicare | User 12 firma 8 numar actiuni 1 cu pretul 3

publicare | User 13 firma 3 numar actiuni 10 cu pretul 10

publicare | User 13 firma 2 numar actiuni 1 cu pretul 8

publicare | User 13 firma 1 numar actiuni 4 cu pretul 3

publicare | User 13 firma 0 numar actiuni 1 cu pretul 9

publicare | User 13 firma 7 numar actiuni 4 cu pretul 10

publicare | User 13 firma 6 numar actiuni 7 cu pretul 7

publicare | User 13 firma 5 numar actiuni 3 cu pretul 9

publicare | User 13 firma 4 numar actiuni 6 cu pretul 8

publicare | User 13 firma 9 numar actiuni 7 cu pretul 7

publicare | User 13 firma 8 numar actiuni 3 cu pretul 7

publicare | User 13 firma 3 numar actiuni 2 cu pretul 10

publicare | User 13 firma 2 numar actiuni 2 cu pretul 8

publicare | User 13 firma 1 numar actiuni 8 cu pretul 3

publicare | User 13 firma 0 numar actiuni 4 cu pretul 9

publicare | User 13 firma 7 numar actiuni 1 cu pretul 10

publicare | User 13 firma 6 numar actiuni 10 cu pretul 7

publicare | User 13 firma 5 numar actiuni 2 cu pretul 9

publicare | User 13 firma 4 numar actiuni 6 cu pretul 8

publicare | User 13 firma 9 numar actiuni 6 cu pretul 7

publicare | User 13 firma 8 numar actiuni 4 cu pretul 7

publicare | User 13 firma 3 numar actiuni 3 cu pretul 10

publicare | User 13 firma 2 numar actiuni 2 cu pretul 8

publicare | User 13 firma 1 numar actiuni 6 cu pretul 3

publicare | User 13 firma 0 numar actiuni 2 cu pretul 9

publicare | User 13 firma 7 numar actiuni 6 cu pretul 10

publicare | User 13 firma 6 numar actiuni 2 cu pretul 7

publicare | User 13 firma 5 numar actiuni 4 cu pretul 9

publicare | User 13 firma 4 numar actiuni 7 cu pretul 8

publicare | User 13 firma 9 numar actiuni 5 cu pretul 7

publicare | User 13 firma 8 numar actiuni 2 cu pretul 7

publicare | User 13 firma 3 numar actiuni 8 cu pretul 10

publicare | User 13 firma 2 numar actiuni 2 cu pretul 8

publicare | User 13 firma 1 numar actiuni 8 cu pretul 3

publicare | User 13 firma 0 numar actiuni 8 cu pretul 9

publicare | User 13 firma 7 numar actiuni 5 cu pretul 10

publicare | User 13 firma 6 numar actiuni 3 cu pretul 7

publicare | User 13 firma 5 numar actiuni 2 cu pretul 9

publicare | User 13 firma 4 numar actiuni 2 cu pretul 8

publicare | User 13 firma 9 numar actiuni 4 cu pretul 7

publicare | User 13 firma 8 numar actiuni 4 cu pretul 7

publicare | User 13 firma 3 numar actiuni 1 cu pretul 10

publicare | User 13 firma 2 numar actiuni 4 cu pretul 8

publicare | User 13 firma 1 numar actiuni 2 cu pretul 3

publicare | User 13 firma 0 numar actiuni 6 cu pretul 9

publicare | User 13 firma 7 numar actiuni 6 cu pretul 10

publicare | User 13 firma 6 numar actiuni 7 cu pretul 7

publicare | User 13 firma 5 numar actiuni 7 cu pretul 9

publicare | User 13 firma 4 numar actiuni 5 cu pretul 8

publicare | User 13 firma 9 numar actiuni 3 cu pretul 7

publicare | User 13 firma 8 numar actiuni 2 cu pretul 7

publicare | User 13 firma 3 numar actiuni 6 cu pretul 10

publicare | User 13 firma 2 numar actiuni 3 cu pretul 8

publicare | User 13 firma 1 numar actiuni 10 cu pretul 3

publicare | User 13 firma 0 numar actiuni 2 cu pretul 9

publicare | User 13 firma 7 numar actiuni 1 cu pretul 10

publicare | User 13 firma 6 numar actiuni 2 cu pretul 7

publicare | User 13 firma 5 numar actiuni 6 cu pretul 9

publicare | User 13 firma 4 numar actiuni 6 cu pretul 8

publicare | User 13 firma 9 numar actiuni 6 cu pretul 7

publicare | User 13 firma 8 numar actiuni 1 cu pretul 7

publicare | User 14 firma 3 numar actiuni 1 cu pretul 1

publicare | User 14 firma 2 numar actiuni 3 cu pretul 1

publicare | User 14 firma 1 numar actiuni 3 cu pretul 3

publicare | User 14 firma 0 numar actiuni 3 cu pretul 4

publicare | User 14 firma 7 numar actiuni 3 cu pretul 1

publicare | User 14 firma 6 numar actiuni 3 cu pretul 7

publicare | User 14 firma 5 numar actiuni 1 cu pretul 7

publicare | User 14 firma 4 numar actiuni 2 cu pretul 9

publicare | User 14 firma 9 numar actiuni 1 cu pretul 6

publicare | User 14 firma 8 numar actiuni 1 cu pretul 9

publicare | User 15 firma 3 numar actiuni 4 cu pretul 9

publicare | User 15 firma 2 numar actiuni 1 cu pretul 5

publicare | User 15 firma 1 numar actiuni 9 cu pretul 4

publicare | User 15 firma 0 numar actiuni 1 cu pretul 5

publicare | User 15 firma 7 numar actiuni 7 cu pretul 4

publicare | User 15 firma 6 numar actiuni 2 cu pretul 10

publicare | User 15 firma 5 numar actiuni 8 cu pretul 8

publicare | User 15 firma 4 numar actiuni 2 cu pretul 6

publicare | User 15 firma 9 numar actiuni 1 cu pretul 3

publicare | User 15 firma 8 numar actiuni 2 cu pretul 10

publicare | User 15 firma 3 numar actiuni 2 cu pretul 9

publicare | User 15 firma 2 numar actiuni 4 cu pretul 5

publicare | User 15 firma 1 numar actiuni 8 cu pretul 4

publicare | User 15 firma 0 numar actiuni 3 cu pretul 5

publicare | User 15 firma 7 numar actiuni 9 cu pretul 4

publicare | User 15 firma 6 numar actiuni 4 cu pretul 10

publicare | User 15 firma 5 numar actiuni 3 cu pretul 8

publicare | User 15 firma 4 numar actiuni 4 cu pretul 6

publicare | User 15 firma 9 numar actiuni 1 cu pretul 3

publicare | User 15 firma 8 numar actiuni 5 cu pretul 10

publicare | User 15 firma 3 numar actiuni 4 cu pretul 9

publicare | User 15 firma 2 numar actiuni 4 cu pretul 5

publicare | User 15 firma 1 numar actiuni 2 cu pretul 4

publicare | User 15 firma 0 numar actiuni 2 cu pretul 5

publicare | User 15 firma 7 numar actiuni 9 cu pretul 4

publicare | User 15 firma 6 numar actiuni 2 cu pretul 10

publicare | User 15 firma 5 numar actiuni 9 cu pretul 8

publicare | User 15 firma 4 numar actiuni 4 cu pretul 6

publicare | User 15 firma 9 numar actiuni 1 cu pretul 3

publicare | User 15 firma 8 numar actiuni 1 cu pretul 10

publicare | User 15 firma 3 numar actiuni 4 cu pretul 9

publicare | User 15 firma 2 numar actiuni 4 cu pretul 5

publicare | User 15 firma 1 numar actiuni 2 cu pretul 4

publicare | User 15 firma 0 numar actiuni 3 cu pretul 5

publicare | User 15 firma 7 numar actiuni 9 cu pretul 4

publicare | User 15 firma 6 numar actiuni 6 cu pretul 10

publicare | User 15 firma 5 numar actiuni 9 cu pretul 8

publicare | User 15 firma 4 numar actiuni 5 cu pretul 6

publicare | User 15 firma 9 numar actiuni 1 cu pretul 3

publicare | User 15 firma 8 numar actiuni 1 cu pretul 10

